YSymbol	isin	name	qscore	qscorePerf	REVPS5YGR	MARGIN5YR	PER	Rendement	L%H	ChPctPrice5Y	YLD+PRY
2053.T	JP3525400002	CHUBUSHIRYO CO LTD	98	0	3,197	1,384	13,001	3,101	0,676	4,807	7,908
9502.T	JP3526600006	CHUBU ELECTRIC POWER CO INC	52	0	3,677	4,550	8,278	3,442	0,835	10,659	14,101
5946.T	JP3527800001	CHOFU SEISAKUSHO CO LTD	35	0	0,849	7,099	28,072	1,947	0,645	-2,196	-0,249
8185.T	JP3528400009	CHIYODA CO LTD	86	0	-3,918	-2,008	13,632	3,552	0,356	4,669	8,221
6366.T	JP3528600004	CHIYODA CORP	46	0	-1,893	1,153	7,098	0,000	0,698	10,698	10,698
3962.T	JP3507750002	CHANGE INC	73	0	0,000	0,000	11,932	1,856	0,213	-22,512	-20,656
5631.T	JP3721400004	JAPAN STEEL WORKS LTD	8	0	2,676	5,706	37,811	1,681	0,872	30,651	32,332
3863.T	JP3721600009	NIPPON PAPER INDUSTRIES CO LTD	47	0	2,565	-0,091	17,761	1,792	0,716	0,416	2,209
2001.T	JP3723000000	NIPPN CORP	99	0	3,156	4,478	9,895	2,562	0,416	6,060	8,622
9074.T	JP3724600006	JAPAN OIL TRANSPORTATION CO LTD	99	0	1,566	3,248	9,515	3,274	0,763	8,812	12,086
4205.T	JP3725400000	ZEON CORP	75	0	6,810	6,983	12,862	2,735	0,764	5,084	7,820
4041.T	JP3726200003	NIPPON SODA CO LTD	87	0	3,253	8,953	13,222	4,498	0,789	19,664	24,161
2914.T	JP3726800000	JAPAN TOBACCO INC	24	0	7,704	13,503	44,896	5,874	0,907	19,992	25,866
2353.T	JP3728000005	NIPPON PARKING DEVELOPMENT C	29	0	10,638	14,149	18,163	2,822	0,698	16,090	18,912
9434.T	JP3732000009	SOFTBANK CORP	1	0	0,000	0,000		0,000		11,963	11,963
94345.T	JP3732000108	SOFTBANK CORP PREFERRED	5	0	6,428	10,269	20,715	5,101	0,479	-3,344	1,757
7911.T	JP3629000005	TOPPAN PRINTING CO LTD	83	0	5,012	5,919	12,906	1,599	0,306	23,382	24,981
6701.T	JP3733000008	NEC CORP	3	0	1,510	4,929	31,980	1,288	0,894	33,844	35,131
5214.T	JP3733400000	NIPPON ELECTRIC GLASS CO LTD	49	0	5,636	4,067	36,122	4,157	0,952	19,059	23,217
9908.T	JP3734400009	NIHON DENKEI CO LTD	100	0	5,916	2,448	8,931	4,106	0,719	21,414	25,520
6594.T	JP3734800000	NIDEC CORP	36	0	11,618	5,445	18,678	0,851	0,559	-13,274	-12,424
6951.T	JP3735000006	JEOL LTD	33	0	9,655	9,488	13,850	1,245	0,639	9,604	10,850
9432.T	JP3735400008	NIPPON TELEGRAPH AND TELEPHONE CORP	42	0	4,961	9,491	12,919	3,236	0,550	11,662	14,898
5334.T	JP3738600000	NITERRA CO LTD	40	0	9,783	12,215	13,367	4,128	0,939	25,675	29,804
5991.T	JP3742600004	NHK SPRING CO LTD	76	0	5,930	4,574	12,761	3,140	0,943	29,898	33,038
2282.T	JP3743000006	NH FOODS LTD	66	0	2,570	2,321	23,382	2,453	0,855	6,525	8,978
4095.T	JP3744600002	NIHON PARKERIZING CO LTD	86	0	2,643	10,889	12,140	3,541	0,773	5,294	8,835
9404.T	JP3732200005	NIPPON TELEVISION HOLDINGS INC	34	0	1,964	8,992	18,542	2,012	0,743	27,575	29,587
4272.T	JP3694400007	NIPPON KAYAKU CO LTD	83	0	6,071	6,793	12,069	3,580	0,658	8,582	12,162
3276.T	JP3695050009	JAPAN PROPERTY MANAGEMENT CENTER CO LTD	71	0	6,490	2,738	11,140	4,370	0,746	-1,674	2,696
5491.T	JP3698000001	NIPPON KINZOKU CO LTD	59	0	2,573	2,211	6,449	0,100	0,790	5,819	5,918
9706.T	JP3699400002	JAPAN AIRPORT TERMINAL CO LTD	41	0	-0,671	-6,567	16,050	0,607	0,569	0,228	0,835
7279.T	JP3699600007	HI-LEX CORP	67	0	5,458	-0,093	31,032	2,571	0,985	18,359	20,931
5703.T	JP3700200003	NIPPON LIGHT METAL HOLDINGS CO LTD	95	0	3,395	2,071	10,388	3,667	0,854	6,001	9,668
4552.T	JP3701000006	JCR PHARMACEUTICALS CO LTD	3	0	5,979	13,599	28,079	1,064	0,670	-24,965	-23,900
	JP3705200008	JAPAN AIRLINES CO LTD	46	0	0,895	-3,758	10,540	1,451	0,661		0,000
6807.T	JP3705600009	JAPAN AVIATION ELECTRONICS INDUSTRY LTD	41	0	7,521	5,232	18,352	2,015	0,464	11,593	13,608
6849.T	JP3706800004	NIHON KOHDEN CORP	27	0	4,552	8,492	22,074	1,451	0,240	0,790	2,241
6471.T	JP3720800006	NSK LTD	92	0	0,076	1,818	38,207	3,350	0,809	-1,993	1,358
9072.T	JP3709600005	NIKKON HOLDINGS CO LTD	31	0	4,101	7,400	32,039	2,971	0,927	27,118	30,089
8304.T	JP3711200000	AOZORA BANK LTD	60	0	-5,301	5,541	16,271	4,828	0,556	6,334	11,163
4091.T	JP3711600001	NIPPON SANSO HOLDINGS CORP	3	0	8,992	7,435	22,113	1,225	0,513	26,923	28,148
9739.T	JP3712500002	NIPPON SYSTEMWARE CO LTD	98	0	5,503	7,972	10,647	2,510	0,115	4,240	6,750
4323.T	JP3712550007	JAPAN SYSTEM TECHNIQUES CO LTD	16	0	7,079	6,909	21,555	1,446	0,746	41,341	42,787
8945.T	JP3713400004	SUNNEXTA GROUP INC	70	0	3,825	11,734	42,428	3,639	0,512	-0,365	3,274
4114.T	JP3715200006	NIPPON SHOKUBAI CO LTD	81	0	7,183	3,497	15,806	3,613	0,613	7,157	10,769
4516.T	JP3717600005	NIPPON SHINYAKU CO LTD	51	0	6,557	17,667	7,241	1,862	0,219	-15,208	-13,346
2325.T	JP3718600004	NJS CO LTD	38	0	5,451	9,293	19,767	3,047	0,577	22,725	25,771
1332.T	JP3718800000	NIPPON SUISAN KAISHA LTD	67	0	5,152	2,830	12,223	2,682	0,848	20,720	23,402
7287.T	JP3720600000	NIPPON SEIKI CO LTD	84	0	4,734	0,789	14,900	3,792	0,851	8,248	12,040
9709.T	JP3709000008	NCS&A CO LTD	60	0	0,759	6,755	12,284	4,043	0,934	28,970	33,013
6744.T	JP3759800000	NOHMI BOSAI LTD	34	0	3,072	7,439	19,650	2,108	0,544	9,956	12,064
7879.T	JP3761700008	NODA CORP	76	0	0,365	3,251		4,698	0,303	0,821	5,519
5079.T	JP3762050007	NOVAC CO LTD	56	0	-0,358	4,214	22,140	2,088	0,714	3,353	5,441
9716.T	JP3762400004	NOMURA CO LTD	64	0	0,854	3,242	11,168	3,086	0,867	8,341	11,427
8604.T	JP3762600009	NOMURA HOLDINGS INC	39	0	20,986	6,326	8,634	4,124	0,838	17,324	21,447
4307.T	JP3762800005	NOMURA RESEARCH INSTITUTE LTD	25	0	9,895	11,188	33,519	1,210	0,715	12,831	14,041
3231.T	JP3762900003	NOMURA REAL ESTATE HOLDINGS INC	53	0	3,587	9,056	10,693	3,529	0,727	19,757	23,287
5331.T	JP3763000001	NORITAKE CO LTD	77	0	2,801	7,149	11,211	3,318	0,947	25,601	28,919
219A.T	JP3765140003	HEARTSEED INC	8	0	0,000	0,000	75,753	0,000	0,166	2,476	2,476
6324.T	JP3765150002	HARMONIC DRIVE SYSTEMS INC	8	0	8,512	-2,334	84,266	0,469	0,428	-17,001	-16,532
4690.T	JP3745100002	NIPPON PALLET POOL CO LTD	81	0	-0,102	6,663	10,412	2,206	0,796	-2,734	-0,527
4299.T	JP3765250000	HIMACS LTD	98	0	-0,153	6,973	11,433	2,891	0,430	4,837	7,727
2810.T	JP3765400001	HOUSE FOODS GROUP INC	59	0	2,692	5,143	25,226	1,537	0,618	-4,401	-2,865
7064.T	JP3765460005	HOWTELEVISION INC	54	0	18,851	8,864	12,697	0,000	0,393	1,713	1,713
7433.T	JP3766400000	HAKUTO CO LTD	92	0	5,485	2,854	16,615	5,597	0,309	28,239	33,836
2433.T	JP3766550002	HAKUHODO DY HOLDINGS INC	35	0	-7,958	3,160	48,343	2,149	0,462	-3,408	-1,259
1719.T	JP3767810009	HAZAMA ANDO CORP	76	0	7,393	4,794	9,405	4,650	0,807	19,951	24,602
1808.T	JP3768600003	HASEKO CORP	54	0	8,666	5,033	18,559	4,787	0,862	14,370	19,157
6965.T	JP3771800004	HAMAMATSU PHOTONICS KK	25	0	6,919	16,082	34,102	1,096	0,494	-9,992	-8,896
8894.T	JP3772300004	REVOLUTION CO LTD	6	0	-0,474	-0,059	22,283	0,000	0,022	-25,530	-25,530
7119.T	JP3773350008	HALMEK HOLDINGS CO LTD	53	0	0,000	0,000	23,849	1,487	0,769	-24,042	-22,555
7611.T	JP3765180009	HIDAY HIDAKA CORP	12	0	5,715	3,766	27,311	1,408	0,680	16,225	17,633
5036.T	JP3746810005	JAPAN BUSINESS SYSTEMS INC	34	0	0,000	0,000	14,301	2,005	0,820	9,589	11,594
6490.T	JP3747800005	PILLAR CORP	57	0	15,617	17,462	12,817	3,006	0,822	26,830	29,836
3723.T	JP3748520008	NIHON FALCOM CORP	35	0	0,567	37,319	23,682	0,705	0,644	3,421	4,126
4612.T	JP3749400002	NIPPON PAINT HOLDINGS CO LTD	5	0	10,092	7,527	16,502	0,863	0,286	-11,695	-10,833
6871.T	JP3750400008	MICRONICS JAPAN CO LTD	6	0	0,000	0,000	26,661	1,025	0,931	44,175	45,199
2702.T	JP3750500005	MCDONALD'S HOLDINGS COMPANY JAPAN LTD	14	0	7,552	6,942	24,382	0,749	0,556	4,484	5,232
2162.T	JP3750800009	NIPPON MANUFACTURING SERVICE	43	0	5,536	-0,242	9,774	1,753	0,357	11,650	13,402
3645.T	JP3752400006	MEDICAL NET INC	24	0	14,883	2,808	55,447	0,617	0,513	-5,093	-4,476
6178.T	JP3752900005	JAPAN POST HOLDINGS CO LTD	37	0	4,550	4,681	11,970	4,176	0,517	14,302	18,478
9101.T	JP3753000003	NIPPON YUSEN KK	96	0	11,981	25,359	5,249	9,068	0,561	51,360	60,428
5243.T	JP3759300001	NOTE INC	5	0	0,000	0,000	95,838	0,000	0,425	45,034	45,034
7575.T	JP3754500001	JAPAN LIFELINE CO LTD	58	0	4,364	12,651	11,423	3,284	0,740	2,019	5,303
9843.T	JP3756100008	NITORI HOLDINGS CO LTD	13	0	0,000	0,000	16,995	1,234	0,025	-9,877	-8,644
7974.T	JP3756600007	NINTENDO CO LTD	17	0	-1,849	27,372	49,064	2,632	0,666	17,242	19,874
5033.T	JP3757010008	NULAB INC	54	0	20,780	7,605	10,401	0,000	0,167	0,874	0,874
3328.HK	JP3758110005	BEENOS INC	6	0	-0,868	4,226	43,161	1,181	0,887	11,495	12,676
2497.T	JP3758130003	UNITED INC	79	0	-8,008	23,291	13,585	2,641	0,000	-5,172	-2,531
2120.T	JP3758140002	LIFULL CO LTD	56	0	-2,290	-6,208		1,196	0,617	-12,721	-11,525
3659.T	JP3758190007	NEXON CO LTD	21	0	14,093	26,572	14,698	0,413	0,863	2,944	3,358
	JP3758200004	NET ONE SYSTEMS CO LTD	18	0	4,250	6,203	23,174	2,288	0,958		0,000
3186.T	JP3758210003	NEXTAGE CO LTD	26	0	19,312	2,433	23,549	1,057	0,902	12,864	13,921
7094.T	JP3758240000	NEXTONE INC	34	0	31,558	4,467	27,715	0,000	0,768	-5,171	-5,171
7105.T	JP3753800006	MITSUBISHI LOGISNEXT CO LTD	49	0	8,112	1,454	62,910	0,960	0,422	12,288	13,248
8013.T	JP3640800003	NAIGAI CO LTD	68	0	-4,638	-4,763	16,812	0,000	0,292	-5,236	-5,236
3374.T	JP3641220003	NAIGAI TEC CORP	93	0	4,410	3,165	7,362	3,612	0,528	-1,748	1,864
	JP3641230002	NAIGAI TRANS LINE LTD	71	0	10,635	8,486	12,983	3,232	0,992		0,000
6496.T	JP3642000008	NAKAKITA SEISAKUSHO CO LTD	72	0	5,586	5,155	12,701	2,942	0,788	12,794	15,736
7716.T	JP3642500007	NAKANISHI INC	15	0	17,347	22,943	35,087	1,803	0,375	2,398	4,201
5941.T	JP3642600005	NAKANISHI MFG CO LTD	89	0	6,464	3,724	8,566	2,979	0,159	20,506	23,486
1827.T	JP3643600004	NAKANO CORP	81	0	-1,100	1,168	11,491	2,944	0,840	15,557	18,500
6411.T	JP3644000006	NAKANO REFRIGERATORS CO LTD	62	0	2,346	4,432	20,937	4,367	0,986	4,617	8,984
5408.T	JP3646400006	NAKAYAMA STEEL WORKS LTD	96	0	4,431	3,902	6,561	4,711	0,044	12,604	17,314
7442.T	JP3646600001	NAKAYAMAFUKU CO LTD	79	0	-2,001	1,292	10,249	2,938	0,886	-3,448	-0,509
6943.T	JP3691400000	NKK SWITCHES CO LTD	29	0	0,812	3,378		2,149	0,794	2,907	5,055
8012.T	JP3647800006	NAGASE & CO LTD	94	0	5,759	2,878	13,615	3,095	0,835	18,142	21,236
7715.T	JP3648350001	NAGANO KEIKI CO LTD	97	0	7,459	6,192	7,189	2,016	0,523	22,707	24,724
8522.T	JP3648800005	BANK OF NAGOYA LTD	36	0	10,462	13,537	10,654	3,203	0,916	31,073	34,276
9048.T	JP3649800004	NAGOYA RAILROAD CO LTD	39	0	0,733	2,321	11,619	0,916	0,526	-8,974	-8,059
5922.T	JP3651000006	NASU DENKI TEKKO CO LTD	80	0	1,140	8,298	9,847	2,070	0,970	17,431	19,501
7435.T	JP3651030003	NADEX CO LTD	73	0	5,215	2,353	30,248	3,764	0,676	9,234	12,998
4627.T	JP3651050001	NATOCO CO LTD	91	0	3,211	6,299	11,378	3,658	0,663	9,991	13,649
4571.T	JP3651120002	NANO MRNA CO LTD	8	0	-29,746	-746,826		0,000	0,664	-18,317	-18,317
6268.T	JP3651210001	NABTESCO CORP	24	0	2,895	8,474	36,348	2,297	0,939	-2,035	0,262
8085.T	JP3651800009	NARASAKI SANGYO CO LTD	84	0	3,646	1,971	9,007	3,543	0,748	11,843	15,386
7447.T	JP3647000003	NAGAILEBEN CO LTD	29	0	1,177	18,685	21,324	2,679	0,071	-6,405	-3,725
	JP3629800008	TOBISHIMA CORP	99	0	0,534	2,505	9,342	4,977	0,764		0,000
4441.T	JP3630000002	TOBILA SYSTEMS INC	23	0	19,312	24,410	16,076	1,378	0,488	-7,717	-6,340
7231.T	JP3630200008	TOPY INDUSTRIES LTD	99	0	3,376	1,283	9,429	3,608	0,781	20,874	24,482
7732.T	JP3630400004	TOPCON CORP	3	0	9,244	3,251	73,437	1,542	0,990	23,221	24,763
8147.T	JP3630600009	TOMITA CO LTD	77	0	-1,222	2,484	11,953	1,487	0,070	5,027	6,514
7184.T	JP3632150003	FIRST BANK OF TOYAMA LTD	59	0	9,115	16,499	9,091	3,012	0,877	39,796	42,808
4058.T	JP3632650002	TOYOKUMO INC	5	0	27,194	22,921	32,412	0,386	0,606	3,866	4,252
7203.T	JP3633400001	TOYOTA MOTOR CORP	43	0	11,548	9,271	8,901	2,648	0,676	15,638	18,287
7282.T	JP3634200004	TOYODA GOSEI CO LTD	69	0	5,831	4,038	12,231	2,892	0,890	6,418	9,310
6201.T	JP3634600005	TOYOTA INDUSTRIES CORP	26	0	13,796	6,411	19,978	1,906	0,781	20,322	22,228
7532.T	JP3639650005	PAN PACIFIC INTERNATIONAL HOLDINGS CORP.	3	0	7,195	3,675	31,103	0,691	0,523	15,935	16,626
141A.T	JP3635490000	TRIAL HOLDINGS INC	27	0	0,000	0,000	23,933	0,700	0,338	-17,297	-16,597
	JP3635510005	TRYT INC	1	0	0,000	0,000	40,566	2,400	0,945		0,000
2154.T	JP3635580008	OPEN UP GROUP INC	53	0	2,510	1,590	11,726	3,233	0,355	11,967	15,200
7818.T	JP3635670007	TRANSACTION CO LTD	23	0	8,494	12,735	16,265	1,923	0,475	19,893	21,816
9715.T	JP3635700002	TRANSCOSMOS INC	87	0	4,561	4,123	10,976	3,408	0,811	3,915	7,323
6382.T	JP3637000005	TRINITY INDUSTRIAL CORP	95	0	2,191	5,388	6,969	4,206	0,817	12,817	17,023
5136.T	JP3637030002	TRIPLA CO LTD	17	0	0,000	0,000	24,880	0,000	0,477	9,705	9,705
4704.T	JP3637300009	TREND MICRO INC	3	0	11,544	12,459	33,326	2,137	0,077	5,941	8,078
5714.T	JP3638600001	DOWA HOLDINGS CO LTD	55	0	6,815	4,704	14,903	2,375	0,870	12,349	14,725
3087.T	JP3639100001	DOUTOR NICHIRES HOLDINGS CO LTD	65	0	2,715	1,003	17,396	1,779	0,682	11,735	13,514
5070.T	JP3639350002	DRAFT INC	70	0	0,000	0,000	10,553	1,613	0,984	-0,633	0,980
8015.T	JP3635000007	TOYOTA TSUSHO CORP	80	0	9,019	3,241	12,560	3,233	0,932	34,139	37,372
6157.T	JP3675320000	NS TOOL CO LTD	64	0	-0,190	14,856	14,513	1,995	0,512	-7,134	-5,139
2897.T	JP3675600005	NISSIN FOODS HOLDINGS CO LTD	47	0	11,769	7,607	15,646	1,539	0,004	-2,459	-0,920
2002.T	JP3676800000	NISSHIN SEIFUN GROUP INC	72	0	3,760	2,535	14,700	2,395	0,502	2,517	4,911
8881.T	JP3677900007	NISSHIN GROUP HOLDINGS CO LTD	95	0	-1,403	3,459	10,445	4,389	0,827	8,720	13,109
3105.T	JP3678000005	NISSHINBO HOLDINGS INC	87	0	0,671	1,987	14,736	3,572	0,924	9,825	13,397
261A.T	JP3678050000	NIHON SUIDO CONSULTANTS CO LTD	39	0	0,000	0,000	18,296	1,227	0,569	101,818	103,046
7021.T	JP3680400003	NITCHITSU CO LTD	67	0	2,768	-0,599	17,393	1,730	0,896	7,918	9,648
6151.T	JP3682300003	NITTO KOHKI CO LTD	65	0	2,444	7,135	70,554	2,276	0,185	-0,272	2,004
6651.T	JP3682400001	NITTO KOGYO CORP	80	0	7,156	5,441	14,365	4,822	0,813	12,876	17,697
2003.T	JP3683200004	NITTO FUJI FLOUR MILLING CO LTD	53	0	4,803	5,768	19,868	3,711	0,607	16,413	20,125
9275.T	JP3652010004	NARUMIYA INTERNATIONAL CO LTD	76	0	4,009	2,712	12,166	3,470	0,822	16,496	19,966
3110.T	JP3684400009	NITTO BOSEKI CO LTD	34	0	6,273	8,475	21,702	1,559	0,900	13,438	14,996
1929.T	JP3684800000	NITTOC CONSTRUCTION CO LTD	67	0	0,498	4,570	18,023	4,332	0,658	9,296	13,628
9913.T	JP3686100003	NIPPO LTD	59	0	0,760	2,568	16,792	3,521	0,786	42,267	45,788
6930.T	JP3686600002	NIPPON ANTENNA CO LTD	80	0	-7,580	-4,824	1,996	1,854	0,569	-2,849	-0,995
5202.T	JP3686800008	NIPPON SHEET GLASS CO LTD	21	0	8,480	-1,219	20,193	0,000	0,985	6,427	6,427
5843.T	JP3687450001	NIPPON INSURE CO LTD	13	0	0,000	0,000	19,777	0,380	0,781	99,590	99,971
7940.T	JP3687800007	WAVELOCK HOLDINGS CO LTD	100	0	-0,076	5,237	10,122	4,522	0,753	-0,543	3,980
9147.T	JP3688370000	NIPPON EXPRESS HOLDINGS INC	66	0	0,000	0,000	30,321	1,470	0,906	11,301	12,771
2127.T	JP3689050007	NIHON M&A CENTER HOLDINGS INC	16	0	7,346	26,254	19,652	1,348	0,718	-24,115	-22,767
4716.T	JP3689500001	ORACLE CORP JAPAN	2	0	4,507	23,200	31,783	1,487	0,284	6,834	8,321
6988.T	JP3684000007	NITTO DENKO CORP	13	0	8,843	11,556	20,247	2,211	0,897	20,014	22,225
9044.T	JP3653000004	NANKAI ELECTRIC RAILWAY CO LTD	29	0	2,735	5,953	12,964	1,113	0,789	3,557	4,670
7887.T	JP3653200000	NANKAI PLYWOOD CO LTD	98	0	4,740	4,075	14,048	2,733	0,957	7,903	10,636
7399.T	JP3653300008	NANSIN CO LTD	90	0	2,322	3,297	11,957	3,662	0,814	3,054	6,716
9034.T	JP3653350003	NANSO TRANSPORT CO LTD	90	0	2,321	7,890	10,458	3,999	0,881	20,767	24,767
9408.T	JP3656400003	BSN MEDIA HOLDINGS INC	74	0	1,552	4,802	13,265	0,587	0,591	12,498	13,085
7731.T	JP3657400002	NIKON CORP	42	0	6,361	2,926	47,346	3,052	0,751	22,071	25,123
9031.T	JP3658800002	NISHI-NIPPON RAILROAD CO LTD	49	0	2,913	3,101	7,440	1,299	0,685	-3,631	-2,332
7189.T	JP3658850007	NISHI-NIPPON FINANCIAL HOLDINGS INC	36	0	5,953	16,815	11,560	3,611	0,849	27,794	31,405
9021.T	JP3659000008	WEST JAPAN RAILWAY CO	38	0	-1,794	-0,415	11,725	2,209	0,514	7,229	9,438
7545.T	JP3659300002	NISHIMATSUYA CHAIN CO LTD	64	0	6,012	4,773	15,248	1,525	0,152	4,576	6,102
